"","X","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Rape.reviseddefinition.1","Rape.legacydefinition.2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"79",79,"Clearlake3","15,044","117",5,"6",NA,"27","79","614","223","302","89","6"
"80",80,"Cloverdale","8,839","15",0,"2",NA,"5","8","119","22","87","10","0"
"81",81,"Clovis","103,769","239",1,"26",NA,"70","142","3,083","420","2,454","209","5"
"82",82,"Coachella","44,953","153",3,"3",NA,"51","96","1,238","200","802","236","6"
"83",83,"Coalinga","16,073","105",0,"9",NA,"5","91","316","85","204","27","11"
"84",84,"Colma3","1,531","12",0,"1",NA,"3","8","275","41","208","26","0"
"85",85,"Colton","54,503","185",3,"11",NA,"77","94","1,715","361","889","465","3"
"86",86,"Colusa3","5,937","6",0,"2",NA,"2","2","127","43","71","13","0"
"87",87,"Commerce","13,137","93",2,"10",NA,"28","53","1,247","100","798","349","8"
"88",88,"Compton","99,125","988",13,"33",NA,"332","610","2,410","496","1,147","767","53"
"89",89,"Concord","128,767","491",4,"29",NA,"182","276","4,618","594","3,068","956","8"
"90",90,"Corcoran3","22,435","104",0,"4",NA,"13","87","398","107","212","79","5"
"91",91,"Corning","7,527","44",0,"2",NA,"5","37","254","74","155","25","6"
"92",92,"Corona","163,633","212",5,"30",NA,"98","79","3,727","615","2,646","466","13"
"93",93,"Coronado","25,138","26",0,"5",NA,"1","20","379","55","307","17","3"
"94",94,"Costa Mesa3","113,477","386",1,"53",NA,"122","210","4,723","698","3,558","467","18"
"95",95,"Cotati","7,469","32",0,"10",NA,"1","21","108","32","61","15","1"
"96",96,"Covina3","49,300","108",1,"8",NA,"33","66","1,129","238","753","138","8"
"97",97,"Crescent City3","6,599","41",0,"5",NA,"1","35","152","50","90","12","1"
"98",98,"Cudahy","24,410","78",1,"6",NA,"22","49","307","48","177","82","0"
"99",99,"Culver City","39,890","156",0,"4",NA,"78","74","1,919","214","1,598","107","0"
"100",100,"Cupertino","61,162","63",0,"8",NA,"27","28","935","293","583","59","7"
"101",101,"Cypress3","49,560","56",0,"3",NA,"23","30","889","146","646","97","4"
"102",102,"Daly City","107,320","234",0,"26",NA,"89","119","1,778","320","1,200","258","8"
"103",103,"Dana Point","34,312","57",0,"9",NA,"12","36","589","120","417","52","1"
"104",104,"Danville","44,401","16",1,"2",NA,"6","7","490","114","350","26","2"
"105",105,"Davis","67,034","95",2,"16",NA,"40","37","1,718","281","1,332","105","9"
"106",106,"Delano","52,534","219",4,"9",NA,"52","154","1,376","267","748","361","26"
"107",107,"Del Mar","4,346","10",0,"2",NA,"0","8","176","47","122","7","1"
"108",108,"Del Rey Oaks","1,696","5",0,"2",NA,"0","3","35","7","26","2","0"
"109",109,"Desert Hot Springs","28,416","232",7,"16",NA,"62","147","1,110","459","311","340","9"
"110",110,"Diamond Bar","57,085","58",1,"4",NA,"28","25","804","280","427","97","3"
"111",111,"Dinuba3","24,223","175",1,"5",NA,"13","156","816","163","536","117","7"
"112",112,"Dixon","19,357","54",1,"5",NA,"14","34","458","77","340","41","0"
"113",113,"Dorris3","894","5",0,"1",NA,"0","4","27","6","18","3","0"
"114",114,"Dos Palos","5,112","50",1,"7",NA,"3","39","131","51","64","16","0"
"115",115,"Downey3","114,754","335",7,"23",NA,"173","132","2,892","514","1,586","792","17"
"116",116,"Duarte","22,171","72",0,"3",NA,"19","50","367","68","233","66","0"
"117",117,"Dublin","57,148","68",0,"5",NA,"17","46","997","115","758","124","1"
"118",118,"Dunsmuir3","1,557","2",0,"1",NA,"0","1","23","9","10","4","0"
"119",119,"East Palo Alto3","29,864","181",4,"20",NA,"81","76","652","126","394","132","9"
"120",120,"Eastvale","57,808","40",0,"3",NA,"13","24","904","92","702","110","1"
"121",121,"El Cajon","103,942","360",2,"50",NA,"107","201","2,267","387","1,517","363","15"
"122",122,"El Centro3","44,033","164",1,"10",NA,"56","97","2,667","493","1,983","191","11"
"123",123,"El Cerrito","24,842","97",1,"2",NA,"68","26","1,231","211","899","121","2"
"124",124,"Elk Grove","166,183","586",1,"33",NA,"105","447","3,120","589","2,294","237","4"
"125",125,"El Monte3","117,376","400",8,"21",NA,"143","228","2,132","461","991","680","29"
"126",126,"El Segundo3","17,164","41",1,"1",NA,"22","17","621","147","426","48","2"
"127",127,"Emeryville3","11,549","153",1,"3",NA,"74","75","1,997","120","1,729","148","1"
"128",128,"Encinitas","62,909","126",0,"13",NA,"27","86","986","186","712","88","3"
"129",129,"Escalon","7,449","11",0,"0",NA,"1","10","167","37","117","13","0"
"130",130,"Escondido","151,732","529",7,"48",NA,"176","298","3,393","479","2,308","606","15"
"131",131,"Etna3","705","1",0,"0",NA,"0","1","4","0","3","1","0"
"132",132,"Eureka3","26,858","166",3,"23",NA,"58","82","1,801","335","1,272","194","30"
"133",133,"Exeter3","10,611","26",0,"1",NA,"7","18","349","118","197","34","7"
"134",134,"Fairfax","7,686","13",0,"6",NA,"1","6","104","19","79","6","1"
"135",135,"Fairfield","112,582","486",8,"46",NA,"167","265","3,429","456","2,406","567","30"
"136",136,"Farmersville","10,835","32",0,"1",NA,"10","21","162","41","99","22","0"
"137",137,"Ferndale3","1,362","1",0,"0",NA,"0","1","12","4","7","1","0"
"138",138,"Fillmore","15,519","82",1,"10",NA,"6","65","142","40","80","22","5"
"139",139,"Firebaugh","8,484","53",0,"15",NA,"1","37","97","23","64","10","1"
"140",140,"Folsom","76,183","71",1,"15",NA,"15","40","1,185","210","899","76","6"
"141",141,"Fontana","206,982","804",3,"46",NA,"213","542","4,269","764","2,474","1,031","12"
"142",142,"Fort Bragg","7,310","33",0,"3",NA,"4","26","257","30","210","17","3"
"143",143,"Fort Jones3","680","2",0,"1",NA,"0","1","11","6","5","0","0"
"144",144,"Fortuna3","11,876","36",0,"4",NA,"5","27","571","89","445","37","5"
"145",145,"Foster City3","33,313","20",1,"1",NA,"2","16","302","80","197","25","0"
"146",146,"Fountain Valley3","57,392","66",1,"2",NA,"24","39","1,517","268","1,120","129","1"
"147",147,"Fowler","6,144","46",0,"2",NA,"10","34","135","46","59","30","4"
"148",148,"Fremont","232,427","337",2,"49",NA,"151","135","4,371","913","2,755","703","14"
"149",149,"Fresno","520,837","2,871",39,"167",NA,"1,012","1,653","21,606","4,429","14,184","2,993","255"
"150",150,"Fullerton3","140,771","389",0,"66",NA,"110","213","3,893","468","2,958","467","15"
"151",151,"Galt","25,106","70",1,"13",NA,"11","45","606","94","461","51","5"
"152",152,"Gardena3","60,782","301",6,"24",NA,"149","122","1,519","319","841","359","9"
"153",153,"Garden Grove3","176,041","504",4,"41",NA,"155","304","4,433","885","2,899","649","25"
"154",154,"Gilroy","53,467","192",2,"31",NA,"48","111","1,777","262","1,228","287","16"
"155",155,"Glendale3","202,298","195",5,"17",NA,"75","98","3,513","530","2,630","353","6"
"156",156,"Glendora3","51,753","55",0,"6",NA,"25","24","1,336","183","1,093","60","4"
"157",157,"Goleta","31,011","47",0,"9",NA,"12","26","449","110","305","34","2"
"158",158,"Gonzales","8,507","39",0,"2",NA,"4","33","121","32","56","33","0"
"159",159,"Grand Terrace","12,502","27",1,"1",NA,"13","12","276","74","150","52","2"
"160",160,"Grass Valley","12,883","115",0,"3",NA,"9","103","667","123","484","60","5"
"161",161,"Greenfield","17,061","101",2,"3",NA,"26","70","324","88","144","92","5"
