"","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"56","Calimesa","7,594","18",0,2,"6","10","166","65","81","20","2"
"57","Calipatria","7,715","15",0,0,"0","15","19","12","7","0","0"
"58","Calistoga","5,252","8",0,2,"2","4","126","25","97","4","0"
"59","Camarillo","64,577","54",0,3,"12","39","972","167","763","42","13"
"60","Campbell","38,854","83",0,10,"32","41","1,451","319","1,017","115","18"
"61","Canyon Lake","11,335","10",0,0,"3","7","223","45","146","32","1"
"62","Capitola","9,747","113",0,3,"11","99","708","78","608","22","3"
"63","Carlsbad","100,461","195",0,20,"41","134","1,820","399","1,313","108","9"
"64","Carmel","3,882","13",0,3,"3","7","106","31","74","1","0"
"65","Carpinteria","13,708","39",0,3,"3","33","184","26","149","9","0"
"66","Carson","92,409","499",6,12,"130","351","2,326","441","1,421","464","12"
"67","Cathedral City","53,449","249",3,17,"49","180","1,505","556","660","289","9"
"68","Ceres","43,505","168",3,7,"57","101","1,946","360","1,134","452","9"
"69","Cerritos","51,025","93",0,3,"49","41","1,696","301","1,167","228","6"
"70","Chico","85,630","245",1,47,"88","109","2,347","710","1,416","221","33"
"71","Chino","84,170","264",0,13,"76","175","2,009","479","1,314","216","14"
"72","Chino Hills","74,520","80",1,5,"16","58","978","239","657","82","7"
"73","Chowchilla","19,795","64",0,5,"5","54","344","153","168","23","5"
"74","Chula Vista","229,060","663",2,54,"254","353","5,124","760","3,255","1,109","24"
"75","Citrus Heights","84,476","385",4,25,"155","201","3,931","756","2,675","500","17"
"76","City of Angels","3,774","11",0,1,"2","8","67","24","38","5","0"
"77","Claremont","35,527","49",0,5,"26","18","877","231","595","51","5"
"78","Clayton","11,487","15",0,0,"9","6","142","38","96","8","2"
"79","Clearlake","15,352","73",0,9,"20","44","584","188","310","86","2"
"80","Cloverdale","8,357","19",0,5,"2","12","174","39","123","12","5"
"81","Clovis","95,901","165",2,31,"55","77","3,569","755","2,428","386","22"
"82","Coachella","42,480","193",2,3,"74","114","1,623","551","667","405","11"
"83","Coalinga","18,833","124",0,6,"12","106","539","173","343","23","6"
"84","Colma","1,456","8",0,0,"5","3","259","6","236","17","0"
"85","Colton","50,706","170",6,14,"79","71","1,579","406","890","283","4"
"86","Colusa","5,952","11",0,2,"1","8","124","37","77","10","0"
"87","Commerce","13,466","142",2,4,"54","82","1,000","157","511","332","5"
"88","Compton","93,916","1,327",25,25,"477","800","2,784","847","1,223","714","41"
"89","Concord","122,119","551",4,28,"167","352","3,799","922","2,128","749","6"
"90","Corcoran","25,112","42",0,1,"4","37","289","119","135","35","1"
"91","Corning","7,323","46",0,5,"6","35","314","63","228","23","8"
"92","Corona","153,311","199",2,15,"90","92","3,536","650","2,453","433","14"
"93","Coronado","22,033","25",0,0,"3","22","442","69","336","37","1"
"94","Costa Mesa","110,424","240",1,34,"93","112","3,194","458","2,454","282","10"
"95","Cotati","7,306","35",0,0,"6","29","86","28","55","3","0"
"96","Covina","46,728","171",1,7,"77","86","1,643","377","1,072","194","6"
"97","Crescent City","7,809","28",0,8,"2","18","287","87","190","10","0"
"98","Cudahy","24,256","161",4,6,"65","86","475","68","289","118","2"
"99","Culver City","38,342","149",0,4,"94","51","1,638","177","1,337","124","2"
"100","Cupertino","54,403","60",0,6,"17","37","981","216","728","37","9"
"101","Cypress","47,320","63",0,2,"37","24","787","121","584","82","5"
