"","City","Population","Violent.crime","Murder.and.nonnegligent.manslaughter","Forcible.rape","Robbery","Aggravated.assault","Property.crime","Burglary","Larceny.theft","Motor.vehicle.theft","Arson1"
"117","Dublin","39,682","85",0,"4","27","54","723","167","428","128","4"
"118","Dunsmuir","1,887","5",0,"0","2","3","40","18","17","5","0"
"119","East Palo Alto","32,532","293",6,"22","121","144","1,076","342","400","334","0"
"120","El Cajon","93,320","473",4,"28","154","287","3,612","638","1,954","1,020","26"
"121","El Centro","39,993","328",0,"6","59","263","1,973","721","986","266","0"
"122","El Cerrito","23,074","193",2,"2","139","50","1,445","238","924","283","6"
"123","El Monte","123,616","628",5,"25","187","411","3,199","831","1,435","933","20"
"124","El Segundo","16,666","28",1,"2","16","9","644","156","420","68","5"
"125","Emeryville","8,605","125",1,"4","87","33","1,154","127","843","184","2"
"126","Encinitas","60,061","163",3,"8","48","104","1,198","324","704","170","3"
"127","Escalon","7,236","34",0,"3","0","31","244","45","177","22","2"
"128","Escondido","135,293","713",3,"33","235","442","4,407","758","2,687","962","17"
"129","Etna","803","2",0,"2","0","0","3","1","2","0","0"
"130","Eureka","25,809","172",3,"20","50","99","1,473","405","841","227","15"
"131","Exeter","10,064","56",0,"3","6","47","391","114","223","54","1"
"132","Fairfax","7,170","9",0,"1","2","6","143","27","104","12","0"
"133","Fairfield","105,417","654",6,"36","241","371","4,363","745","2,912","706","35"
"134","Farmersville","10,007","52",1,"0","12","39","242","37","146","59","0"
"135","Ferndale","1,407","0",0,"0","0","0","22","4","18","0","0"
"136","Fillmore","15,029","61",0,"2","6","53","330","56","235","39","6"
"137","Firebaugh","7,064","9",0,"1","0","8","240","23","185","32","0"
"138","Folsom","66,202","97",0,"11","36","50","1,639","286","1,189","164","22"
"139","Fontana","165,336","863",5,"40","254","564","3,309","779","1,375","1,155","12"
"140","Fort Bragg","6,875","40",0,"3","5","32","459","93","348","18","4"
"141","Fort Jones","675","2",0,"1","0","1","9","2","5","2","0"
"142","Fortuna","11,255","23",0,"7","6","10","447","74","340","33","7"
"143","Foster City","29,015","30",1,"4","8","17","437","68","332","37","2"
"144","Fountain Valley","56,446","96",0,"4","36","56","1,375","309","942","124","6"
"145","Fowler","4,755","21",0,"0","2","19","256","36","174","46","0"
"146","Fremont","202,273","569",6,"29","256","278","5,298","1,325","3,113","860","27"
"147","Fresno","465,269","3,524",52,"133","1,282","2,057","23,407","4,366","14,097","4,944","260"
"148","Fullerton","133,983","469",2,"47","172","248","4,337","764","2,962","611","25"
"149","Galt","23,382","66",3,"5","14","44","805","270","398","137","7"
"150","Gardena","60,430","506",8,"13","290","195","1,515","407","616","492","8"
"151","Garden Grove","167,571","695",9,"29","247","410","4,165","715","2,665","785","33"
"152","Gilroy","46,130","233",1,"12","67","153","2,061","273","1,485","303","37"
"153","Glendale","201,867","368",2,"14","167","185","3,935","672","2,685","578","14"
"154","Glendora","50,995","73",3,"2","22","46","1,438","205","1,110","123","19"
"155","Goleta","29,631","40",7,"1","11","21","400","118","259","23","2"
"156","Gonzales","8,575","46",0,"0","9","37","318","130","146","42","2"
"157","Grand Terrace","12,453","22",0,"1","5","16","241","67","101","73","3"
"158","Grass Valley","12,561","82",0,"4","6","72","391","78","275","38","4"
"159","Greenfield","13,450","39",0,"0","28","11","494","115","320","59","2"
"160","Gridley","5,638","65",0,"3","6","56","257","61","170","26","0"
"161","Grover Beach","13,003","40",1,"2","10","27","396","77","285","34","0"
"162","Guadalupe","6,403","28",0,"0","3","25","88","16","55","17","0"
"163","Gustine","5,372","27",4,"0","3","20","149","43","100","6","1"
"164","Half Moon Bay","12,313","20",0,"1","4","15","216","30","176","10","4"
"165","Hanford","47,913","191",1,"0","51","139","1,718","244","1,222","252","39"
"166","Hawaiian Gardens","15,537","159",2,"6","44","107","357","65","188","104","6"
"167","Hawthorne","86,469","623",9,"29","265","320","2,101","491","961","649","14"
"168","Hayward","141,556","776",4,"33","423","316","5,736","1,196","2,343","2,197","74"
"169","Healdsburg","11,151","21",0,"3","5","13","250","66","173","11","4"
"170","Hemet","68,676","520",6,"26","170","318","3,207","947","1,835","425","14"
"171","Hercules","24,326","42",0,"1","20","21","510","80","327","103","2"
"172","Hermosa Beach","19,676","65",0,"10","17","38","582","152","394","36","0"
"173","Hesperia","78,686","241",7,"17","56","161","2,040","562","930","548","13"
"174","Hidden Hills","2,012","0",0,"0","0","0","17","1","16","0","0"
"175","Highland","51,350","230",2,"13","100","115","1,395","380","631","384","14"
"176","Hillsborough","10,711","2",0,"0","0","2","97","12","80","5","0"
"177","Hollister","36,265","126",2,"6","28","90","980","316","530","134","14"
"178","Holtville","5,519","1",0,"0","1","0","93","28","49","16","1"
"179","Hughson","5,756","4",0,"0","1","3","138","33","86","19","0"
"180","Huntington Beach","196,208","407",2,"31","141","233","4,468","961","3,044","463","39"
"181","Huntington Park","63,054","554",7,"22","346","179","2,641","235","1,242","1,164","13"
"182","Huron","7,252","59",3,"1","18","37","307","75","211","21","1"
"183","Imperial","9,794","8",0,"2","3","3","216","28","153","35","3"
"184","Imperial Beach","26,612","168",1,"17","34","116","747","169","342","236","3"
"185","Indian Wells","4,977","5",0,"1","1","3","259","81","165","13","1"
"186","Indio","71,177","385",4,"22","154","205","3,108","908","1,486","714","0"
"187","Industry","875","124",4,"2","66","52","1,745","279","1,010","456","8"
"188","Inglewood","115,498","1,051",36,"36","486","493","2,926","675","1,194","1,057","16"
"189","Ione","7,676","14",1,"8","2","3","86","23","60","3","2"
"190","Irvine","188,535","126",4,"17","50","55","3,034","634","2,147","253","35"
"191","Irwindale","1,493","16",0,"1","4","11","232","86","76","70","4"
"192","Isleton","827","7",0,"0","3","4","28","11","10","7","0"
