"","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Rape.reviseddefinition.1","Rape.legacydefinition.2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"337","Rio Vista","7,622","32",0,NA,3,"4","25","245","113","117","15","2"
"338","Ripon","14,802","15",0,NA,1,"5","9","342","66","253","23","1"
"339","Riverbank","23,474","37",0,NA,1,"13","23","685","208","400","77","1"
"340","Riverside","316,423","1,330",10,NA,78,"495","747","10,608","1,978","6,912","1,718","75"
"341","Rocklin","59,621","62",0,NA,5,"17","40","1,011","273","678","60","6"
"342","Rohnert Park","41,326","180",1,NA,16,"24","139","687","136","487","64","4"
"343","Rolling Hills","1,894","0",0,NA,0,"0","0","11","5","6","0","0"
"344","Rolling Hills Estates","8,229","3",0,NA,0,"1","2","118","29","82","7","0"
"345","Rosemead","54,587","149",0,NA,6,"65","78","1,067","288","615","164","3"
"346","Roseville","126,236","261",1,NA,13,"64","183","3,343","482","2,623","238","17"
"347","Ross","2,447","1",0,NA,0,"0","1","48","21","24","3","0"
"348","Sacramento","478,182","3,137",34,NA,95,"1,158","1,850","17,980","3,886","11,233","2,861","164"
"349","Salinas","155,742","1,001",24,NA,36,"451","490","5,356","1,148","2,720","1,488","36"
"350","San Bernardino","214,322","1,949",45,NA,74,"794","1,036","9,389","2,673","4,025","2,691","87"
"351","San Bruno","42,495","102",1,NA,8,"35","58","1,002","131","780","91","1"
"352","San Clemente","65,295","56",0,NA,3,"21","32","844","209","582","53","2"
"353","Sand City","344","3",0,NA,0,"0","3","99","14","81","4","0"
"354","San Diego","1,349,306","5,303",39,NA,316,"1,456","3,492","31,728","6,355","19,230","6,143","178"
"355","San Dimas","33,854","65",0,NA,4,"18","43","706","176","463","67","1"
"356","San Fernando","23,955","85",0,NA,2,"28","55","399","69","258","72","2"
"357","San Francisco","833,863","7,064",48,NA,161,"4,202","2,653","48,324","5,931","36,527","5,866","227"
"358","San Gabriel","40,287","103",1,NA,5,"31","66","724","175","493","56","1"
"359","Sanger","24,649","146",2,NA,15,"25","104","726","179","433","114","1"
"360","San Jacinto","45,714","124",5,NA,6,"64","49","1,805","469","1,092","244","0"
