NameCity,Population,Violent,Murder,Robbery,Burglary,Arson,Years,Rape,Assault,PropertyCrime,Theft
Vista,92193,530,4,190,771,29,2005,21,315,2971,1621
Walnut,31817,45,0,21,178,6,2005,1,23,492,236
Walnut Creek,65252,130,1,38,507,14,2005,8,83,2919,2142
Waterford,8173,41,0,2,98,0,2005,2,37,317,172
Watsonville,47465,237,2,81,284,7,2005,17,137,2043,1481
Weed,3097,15,0,1,39,2,2005,5,9,137,83
West Covina,109390,350,6,150,744,5,2005,19,175,4050,2398
West Hollywood,37178,342,2,167,312,5,2005,19,154,1647,1073
Westlake Village,8641,16,0,3,39,0,2005,0,13,150,99
Westminster,90452,351,3,96,561,27,2005,14,238,2866,1769
Westmorland,2105,1,0,0,14,0,2005,0,1,25,10
West Sacramento,39612,361,2,60,563,27,2005,23,276,1433,480
Wheatland,3360,9,0,0,24,0,2005,2,7,98,59
Whittier,86077,307,5,125,429,14,2005,15,162,2592,1655
