"city","population","violent","murder","rape","robbery","Aggravatedassault","Propertycrime","burglary","Larceny-theft","Motorvehicletheft","arson"
"Livermore","82,800","301","0","15","32","254","1,805","310","1,319","176","9"
"Livingston","13,394","74","2","3","12","57","306","120","146","40","4"
"Lodi","63,718","280","2","12","86","180","2,599","754","1,508","337","11"
"Loma Linda","23,819","43","1","3","11","28","626","173","299","154","2"
"Lomita","20,591","95","1","1","30","63","391","81","264","46","0"
"Lompoc","43,120","222","3","16","27","176","1,166","312","787","67","14"
"Long Beach","469,893","2,705","32","115","1,239","1,319","14,131","3,799","7,702","2,630","104"
"Los Alamitos","11,728","27","0","2","12","13","357","80","253","24","0"
"Los Altos","29,704","6","0","0","5","1","299","94","197","8","3"
"Los Altos Hills","8,121","5","0","0","1","4","45","19","23","3","0"
"Los Angeles","3,855,122","18,547","299","936","8,983","8,329","87,478","16,388","56,006","15,084","1,262"
"Los Banos","36,897","142","1","0","24","117","1,210","340","776","94","5"
"Los Gatos","30,161","38","0","5","6","27","629","123","464","42","9"
"Lynwood","70,908","541","9","24","211","297","1,373","350","503","520","8"
"Madera","62,796","466","2","19","114","331","1,621","653","622","346","0"
"Malibu","12,854","15","0","4","5","6","329","78","232","19","0"
"Mammoth Lakes","8,373","38","0","3","9","26","196","54","140","2","1"
"Manhattan Beach","35,719","62","0","7","29","26","855","183","631","41","1"
"Manteca","68,887","265","0","11","83","171","2,681","454","1,844","383","19"
"Marina","20,227","41","0","6","12","23","498","151","316","31","0"
"Martinez","36,729","70","1","9","18","42","930","174","567","189","0"
"Marysville","12,254","88","0","9","19","60","502","176","240","86","11"
"Maywood","27,850","175","1","6","56","112","286","66","139","81","7"
"McFarland","13,010","57","0","4","7","46","218","80","85","53","16"
"Menifee","80,047","87","1","4","24","58","1,942","507","1,109","326","0"
"Mendota","11,270","53","0","0","20","33","344","81","226","37","15"
"Menlo Park","32,713","53","2","2","23","26","625","165","432","28","2"
"Merced","80,976","810","9","25","215","561","4,111","955","2,721","435","58"
"Mill Valley","14,181","12","0","1","6","5","175","47","107","21","0"
"Milpitas","68,433","81","1","11","34","35","2,023","332","1,350","341","6"
"Mission Viejo","95,599","73","0","3","28","42","1,197","216","936","45","6"
"Modesto","204,631","1,590","20","59","450","1,061","11,276","2,571","6,906","1,799","54"
"Monrovia","37,199","81","0","2","36","43","948","120","714","114","3"
"Montague","1,443","2","0","0","0","2","6","0","6","0","0"
"Montclair","37,556","197","0","13","67","117","1,703","239","1,092","372","5"
"Montebello","63,538","146","3","4","67","72","1,775","718","622","435","48"
"Monterey","28,508","153","1","10","27","115","1,016","274","704","38","8"
"Monterey Park","61,270","75","4","1","42","28","1,022","249","551","222","2"
"Monte Sereno","3,426","3","1","1","0","1","35","11","22","2","1"
"Moorpark","35,102","41","0","6","6","29","330","77","228","25","0"
"Moraga","16,401","6","0","1","0","5","152","30","111","11","1"
"Moreno Valley","199,673","706","5","25","331","345","6,371","2,018","3,456","897","8"
"Morgan Hill","38,834","50","0","11","13","26","695","157","464","74","18"
"Morro Bay","10,423","21","0","0","4","17","140","44","92","4","2"
"Mountain View","75,933","155","0","5","34","116","1,419","178","1,127","114","7"
"Mount Shasta","3,396","5","0","0","0","5","79","18","56","5","0"
"Murrieta","106,839","70","1","8","21","40","1,715","408","1,177","130","15"
"Napa","78,589","216","2","17","39","158","1,643","349","1,073","221","8"
"National City","59,920","371","4","18","165","184","1,863","366","1,090","407","30"
"Needles","4,963","23","0","6","6","11","213","96","90","27","7"
"Nevada City","3,092","12","0","2","1","9","172","65","90","17","0"
"Newark","43,539","169","1","14","69","85","1,349","390","811","148","5"
"Newman","10,402","25","0","2","6","17","194","41","113","40","0"
"Newport Beach","87,286","101","1","11","27","62","2,151","445","1,611","95","6"
"Norco","27,850","56","1","5","24","26","580","163","344","73","4"
"Norwalk","107,295","433","11","13","171","238","2,609","539","1,537","533","15"
"Novato","52,942","96","0","5","26","65","956","241","624","91","13"
"Oakdale","21,031","58","2","10","13","33","934","240","596","98","0"
"Oakland","399,487","7,963","127","271","4,338","3,227","26,342","6,168","13,198","6,976","188"
"Oakley","36,348","85","1","7","11","66","477","120","257","100","4"
"Oceanside","171,141","728","8","48","175","497","4,289","841","3,003","445","19"
"Ojai","7,607","13","0","0","1","12","162","24","133","5","1"
"Ontario","167,933","534","3","36","266","229","5,056","1,058","3,019","979","30"
"Orange","139,692","135","4","8","54","69","2,833","500","2,044","289","26"
"Orinda","18,098","7","1","0","1","5","216","77","132","7","0"
"Orland","7,361","27","0","0","2","25","210","63","110","37","7"
"Oroville","15,707","107","1","11","45","50","991","326","563","102","8"
"Oxnard","201,797","603","9","8","304","282","4,071","848","2,677","546","40"
"Pacifica","38,041","42","1","5","9","27","578","148","382","48","3"
"Pacific Grove","15,437","27","0","4","7","16","249","97","147","5","1"
"Palmdale","155,294","812","6","37","224","545","3,393","1,035","2,068","290","29"
"Palm Desert","50,021","104","0","6","49","49","2,322","727","1,477","118","5"
"Palm Springs","45,996","302","3","18","104","177","2,232","883","1,112","237","18"
"Palo Alto","66,019","53","0","4","26","23","1,409","327","1,034","48","12"
"Palos Verdes Estates","13,661","6","0","1","0","5","136","48","80","8","1"
"Paradise","26,492","66","0","5","6","55","479","241","214","24","0"
"Paramount","54,997","244","3","7","129","105","1,536","272","810","454","9"
"Parlier","14,828","119","0","7","16","96","431","175","147","109","8"
"Pasadena","139,382","433","5","21","172","235","3,379","891","2,238","250","52"
"Paso Robles","30,344","91","1","6","6","78","777","152","578","47","5"
"Patterson","20,769","53","1","1","24","27","734","279","314","141","2"
"Perris","70,616","240","3","6","94","137","2,081","488","1,118","475","0"
"Petaluma","58,995","167","1","25","29","112","822","149","622","51","9"
"Pico Rivera","63,988","261","1","6","92","162","1,780","349","1,063","368","5"
"Piedmont","10,909","13","0","0","6","7","333","134","151","48","0"
"Pinole","18,864","91","0","8","39","44","674","161","400","113","3"
"Pismo Beach","7,798","36","0","7","7","22","305","79","214","12","3"
"Pittsburg","64,890","152","3","6","83","60","2,107","741","824","542","4"
"Placentia","51,778","107","1","4","29","73","906","183","627","96","2"
"Placerville","10,479","55","0","2","8","45","194","65","109","20","3"
"Pleasant Hill","34,001","73","1","3","40","29","1,621","319","1,183","119","5"
"Pleasanton","71,875","49","1","4","18","26","1,279","165","995","119","5"
"Pomona","151,511","1,021","17","63","377","564","5,055","901","3,044","1,110","19"
"Porterville","55,533","200","3","10","63","124","1,807","595","1,014","198","1"
"Port Hueneme","22,142","65","0","8","11","46","467","107","307","53","2"
"Poway","48,968","94","0","6","27","61","559","137","389","33","3"
"Rancho Cordova","66,214","393","9","28","112","244","2,107","421","1,364","322","3"
"Rancho Cucamonga","169,276","321","4","16","112","189","4,362","1,460","2,427","475","13"
"Rancho Mirage","17,778","23","0","7","4","12","726","282","411","33","2"
"Rancho Palos Verdes","42,335","35","0","1","6","28","498","167","306","25","4"
"Rancho Santa Margarit","49,038","27","0","2","10","15","319","69","240","10","1"
"Red Bluff","14,236","112","0","8","21","83","811","249","531","31","4"
"Redding","90,974","705","3","66","131","505","4,380","1,088","2,790","502","5"
"Redlands","70,399","221","2","15","75","129","2,992","608","1,984","400","20"
"Redondo Beach","67,856","190","4","6","51","129","1,596","266","1,223","107","3"
"Redwood City","78,466","208","0","13","88","107","1,800","526","1,121","153","9"
