"","X","City","Population","Violent..crime","Murder.and..nonnegligent..manslaughter","Forcible.rape","Robbery","Aggravated.assault","Property.crime","Burglary","Larceny..theft","Motor..vehicle.theft","Arson1"
"104",104,"Danville","41,503","22",1,"3","7","11","643","80","509","54","1"
"105",105,"Davis","61,238","169",0,"21","57","91","2,121","579","1,436","106","26"
"106",106,"Delano","52,051","282",5,"9","42","226","1,863","669","650","544",""
"107",107,"Del Mar","4,365","18",0,"2","5","11","217","46","134","37","1"
"108",108,"Del Rey Oaks","1,545","0",0,"0","0","0","29","7","19","3","0"
"109",109,"Desert Hot Springs","23,890","276",4,"16","61","195","1,718","637","655","426","0"
"110",110,"Diamond Bar","57,954","133",3,"9","55","66","1,058","362","602","94","6"
"111",111,"Dinuba","19,926","132",1,"6","29","96","949","272","503","174","9"
"112",112,"Dixon","17,883","73",1,"9","18","45","820","114","624","82","4"
"113",113,"Dorris","851","5",0,"0","0","5","11","5","6","0","0"
"114",114,"Dos Palos","5,000","35",0,"3","0","32","156","44","93","19","0"
"115",115,"Downey","109,642","516",3,"17","289","207","3,896","669","2,175","1,052","13"
"116",116,"Duarte","22,255","84",1,"4","29","50","523","120","316","87","4"
"117",117,"Dublin","43,751","76",0,"6","18","52","756","117","543","96","7"
"118",118,"Dunsmuir","1,824","9",0,"3","0","6","26","5","19","2","0"
"119",119,"East Palo Alto","33,210","261",7,"20","66","168","688","263","202","223","1"
"120",120,"El Cajon","91,302","494",4,"21","184","285","3,952","584","2,127","1,241","14"
"121",121,"El Centro","40,957","266",3,"11","31","221","2,072","710","1,115","247",""
"122",122,"El Cerrito","22,514","177",2,"4","114","57","1,145","253","659","233",""
"123",123,"Elk Grove","138,103","505",2,"23","154","326","3,683","951","2,186","546","6"
"124",124,"El Monte","124,182","686",6,"25","235","420","2,810","625","1,393","792","22"
"125",125,"El Segundo","16,533","36",0,"3","17","16","776","154","557","65","5"
"126",126,"Emeryville","9,041","112",1,"1","85","25","1,156","144","830","182","0"
"127",127,"Encinitas","59,424","159",0,"9","42","108","1,144","306","702","136","7"
"128",128,"Escalon","7,439","21",0,"4","1","16","270","86","160","24","0"
"129",129,"Escondido","133,429","657",4,"28","280","345","4,329","808","2,428","1,093","23"
"130",130,"Etna","785","0",0,"0","0","0","7","7","0","0","0"
"131",131,"Eureka2","25,347","",1,"19","46","","1,517","327","993","197","20"
"132",132,"Exeter","10,307","21",0,"1","9","11","319","95","174","50",""
"133",133,"Fairfax","7,091","18",0,"0","1","17","110","33","64","13","4"
"134",134,"Fairfield","106,098","632",7,"36","221","368","4,352","696","2,988","668","30"
"135",135,"Farmersville","10,219","55",0,"0","9","46","243","68","129","46","6"
"136",136,"Ferndale","1,398","1",0,"0","0","1","18","5","12","1","0"
"137",137,"Fillmore","15,219","52",1,"1","8","42","306","51","235","20","3"
"138",138,"Firebaugh","7,036","13",0,"0","1","12","213","28","153","32","0"
"139",139,"Folsom","68,320","98",2,"8","27","61","1,594","329","1,146","119","13"
"140",140,"Fontana","176,490","896",8,"43","292","553","4,152","936","2,067","1,149","13"
"141",141,"Fort Bragg","6,780","42",0,"4","3","35","297","66","212","19","4"
"142",142,"Fort Jones","659","1",0,"0","0","1","11","2","8","1","0"
"143",143,"Fortuna","11,312","24",1,"8","4","11","377","41","307","29","4"
"144",144,"Foster City","28,958","22",0,"2","5","15","481","65","375","41","4"
"145",145,"Fountain Valley","55,973","111",0,"8","40","63","1,443","328","991","124","5"
"146",146,"Fowler","5,236","9",0,"0","0","9","219","31","141","47","1"
"147",147,"Fremont","201,318","606",5,"35","232","334","5,173","1,292","3,108","773","18"
"148",148,"Fresno","472,170","3,043",52,"99","1,104","1,788","20,969","3,897","13,049","4,023","222"
"149",149,"Fullerton","133,855","467",5,"41","186","235","4,128","883","2,731","514","21"
"150",150,"Galt","23,967","94",0,"12","26","56","888","202","567","119","7"
"151",151,"Gardena","59,951","448",5,"8","287","148","1,428","309","703","416","9"
"152",152,"Garden Grove","166,414","645",8,"35","262","340","4,152","866","2,638","648","34"
"153",153,"Gilroy","49,343","251",1,"12","74","164","2,016","289","1,431","296",""
"154",154,"Glendale","200,049","375",2,"12","166","195","3,667","611","2,533","523","12"
"155",155,"Glendora","50,495","83",1,"9","32","41","1,494","218","1,173","103","16"
"156",156,"Goleta","29,243","53",0,"4","13","36","377","89","255","33","0"
"157",157,"Gonzales","8,795","38",0,"1","9","28","289","86","159","44","0"
"158",158,"Grand Terrace","12,334","22",0,"2","2","18","242","73","125","44","5"
"159",159,"Grass Valley","12,525","66",1,"3","6","56","368","72","270","26","0"
"160",160,"Greenfield2","14,484","",2,"4","47","","540","155","304","81",""
"161",161,"Gridley","5,982","76",0,"8","2","66","191","60","109","22","0"
"162",162,"Grover Beach2","12,761","",0,"7","5","","276","76","182","18","3"
"163",163,"Guadalupe","6,621","9",0,"0","1","8","90","24","53","13","1"
"164",164,"Gustine","5,243","22",0,"0","3","19","109","30","63","16","1"
"165",165,"Half Moon Bay","12,370","21",1,"2","1","17","256","48","189","19","2"
"166",166,"Hanford","49,694","151",0,"8","40","103","1,674","244","1,233","197","33"
"167",167,"Hawaiian Gardens","15,510","149",0,"1","75","73","407","81","222","104",""
"168",168,"Hawthorne","85,609","765",10,"27","378","350","1,992","451","953","588","5"
"169",169,"Hayward","140,603","881",8,"48","538","287","4,667","965","2,021","1,681","60"
"170",170,"Healdsburg","10,955","19",0,"2","4","13","279","55","211","13","4"
"171",171,"Hemet","71,825","479",3,"36","149","291","3,117","815","1,846","456","18"
"172",172,"Hercules","25,636","51",0,"5","24","22","490","129","267","94","4"
"173",173,"Hermosa Beach","19,676","67",0,"12","19","36","552","108","410","34","2"
"174",174,"Hesperia","86,750","322",5,"27","100","190","2,018","517","1,099","402","25"
"175",175,"Hidden Hills","2,060","0",0,"0","0","0","29","9","19","1","0"
"176",176,"Highland","52,582","325",6,"18","135","166","1,336","375","582","379","13"
"177",177,"Hillsborough","10,697","2",0,"0","0","2","95","27","64","4","0"
"178",178,"Hollister","35,812","194",4,"9","47","134","883","300","459","124","13"
"179",179,"Holtville","5,372","6",0,"0","0","6","114","49","38","27","1"
"180",180,"Hughson","6,791","1",0,"0","1","0","172","40","106","26","0"
"181",181,"Huntington Beach","195,067","376",0,"29","102","245","4,035","795","2,825","415","42"
"182",182,"Huntington Park","62,269","603",9,"10","379","205","2,777","349","1,326","1,102","19"
"183",183,"Huron","7,301","44",0,"0","22","22","194","54","113","27","10"
"184",184,"Imperial","12,506","5",0,"1","2","2","208","29","144","35","1"
"185",185,"Imperial Beach","26,013","157",0,"17","46","94","696","161","267","268","10"
"186",186,"Indian Wells","5,175","3",0,"1","2","0","272","109","151","12","1"
"187",187,"Indio","81,909","350",2,"32","127","189","2,830","877","1,377","576","2"
"188",188,"Industry","906","112",2,"0","60","50","1,708","288","1,026","394","4"
"189",189,"Inglewood","115,223","1,036",19,"19","518","480","2,987","851","1,212","924","16"
"190",190,"Ione","7,721","10",0,"1","1","8","77","10","60","7","1"
"191",191,"Irvine","201,872","143",4,"19","44","76","3,256","637","2,404","215","53"
"192",192,"Irwindale","1,474","28",0,"3","16","9","243","86","101","56",""
"193",193,"Isleton","800","14",0,"0","1","13","42","26","9","7","0"
"194",194,"Jackson","4,468","24",0,"3","3","18","157","43","104","10","2"
"195",195,"Kensington","5,327","4",0,"0","2","2","126","15","99","12","0"
"196",196,"Kerman","12,795","28",0,"2","3","23","351","47","223","81","4"
"197",197,"King City","11,237","76",1,"6","20","49","348","89","189","70","4"
"198",198,"Kingsburg","11,483","14",0,"1","2","11","442","92","267","83","4"
"199",199,"La Canada Flintridge","21,079","25",0,"1","7","17","431","151","259","21",""
"200",200,"Lafayette","25,007","25",0,"2","8","15","433","117","258","58","0"
"201",201,"Laguna Beach","24,215","49",0,"10","9","30","495","144","320","31","12"
"202",202,"Laguna Hills","32,172","55",0,"6","14","35","643","149","458","36","7"
"203",203,"Laguna Niguel","65,044","47",0,"2","13","32","665","134","490","41","4"
"204",204,"Laguna Woods","18,313","3",0,"0","1","2","92","8","74","10","0"
"205",205,"La Habra","59,290","209",2,"19","66","122","1,451","305","932","214","5"
"206",206,"La Habra Heights","6,004","8",0,"1","2","5","90","23","59","8","2"
"207",207,"Lake Elsinore","47,937","184",3,"7","51","123","1,657","344","965","348","2"
"208",208,"Lake Forest","76,359","93",1,"6","32","54","1,052","209","765","78","25"
"209",209,"Lakeport","5,291","14",0,"1","2","11","130","22","98","10","4"
"210",210,"Lake Shastina","2,364","0",0,"0","0","0","14","3","10","1","0"
"211",211,"Lakewood","80,138","457",4,"17","248","188","2,478","410","1,631","437","8"
"212",212,"La Mesa","52,801","238",0,"7","125","106","2,234","380","1,355","499","8"
"213",213,"La Mirada","50,143","115",0,"7","39","69","1,080","264","648","168","14"
"214",214,"Lancaster","144,210","1,311",12,"59","435","805","5,056","1,612","2,599","845","89"
"215",215,"La Palma","15,821","45",0,"1","8","36","296","87","179","30",""
"216",216,"La Puente","41,581","222",1,"12","79","130","751","150","388","213",""
"217",217,"La Quinta","44,533","209",1,"9","27","172","1,620","555","943","122","6"
"218",218,"La Verne","33,549","82",0,"6","39","37","821","155","620","46","5"
"219",219,"Lawndale","32,052","247",1,"10","120","116","498","123","214","161","5"
"220",220,"Lemon Grove","23,721","159",1,"10","46","102","591","141","233","217","4"
"221",221,"Lemoore","23,461","79",3,"9","17","50","733","121","521","91",""
"222",222,"Lincoln","47,236","54",0,"7","8","39","456","178","235","43","6"
"223",223,"Lindsay","10,925","75",1,"1","12","61","406","91","219","96","1"
