"","X","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Rape1","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"437",437,"Weed","2,673","34",0,"3","4","27","55","8","38","9","0"
"438",438,"West Covina","106,335","260",6,"21","129","104","2,369","354","1,660","355","15"
"439",439,"West Hollywood","37,173","294",0,"24","139","131","1,898","215","1,566","117","9"
"440",440,"Westlake Village","8,358","13",0,"5","6","2","189","44","140","5","0"
"441",441,"Westminster","91,086","259",0,"19","122","118","2,611","511","1,824","276","22"
"442",442,"West Sacramento","54,372","212",1,"34","79","98","1,603","236","1,158","209","26"
"443",443,"Wheatland","3,940","6",0,"0","1","5","43","8","26","9","0"
"444",444,"Whittier","86,158","213",1,"27","93","92","1,901","318","1,278","305","7"
"445",445,"Wildomar","37,939","61",0,"1","12","48","637","101","375","161","1"
"446",446,"Williams","5,348","20",0,"3","4","13","76","28","34","14","2"
"447",447,"Willits","4,937","16",0,"2","6","8","92","28","51","13","2"
"448",448,"Windsor","27,981","58",0,"8","8","42","257","30","212","15","0"
"449",449,"Winters","7,374","11",0,"0","1","10","115","19","81","15","3"
"450",450,"Woodlake","7,682","28",0,"4","2","22","88","14","61","13","0"
"451",451,"Woodland","61,176","224",3,"18","44","159","1,488","231","1,062","195","52"
"452",452,"Yorba Linda","68,225","42",0,"3","17","22","627","140","433","54","1"
"453",453,"Yountville","2,988","5",0,"0","0","5","42","5","36","1","1"
"454",454,"Yreka","7,527","28",0,"0","1","27","235","34","172","29","0"
"455",455,"Yuba City","67,164","241",3,"28","52","158","1,823","230","1,334","259","7"
"456",456,"Yucaipa","53,964","200",3,"14","31","152","641","172","365","104","0"
"457",457,"Yucca Valley","21,858","160",0,"9","25","126","292","84","157","51","3"
