"","X","City","Population","Violent..crime","Murder.and..nonnegligent..manslaughter","Forcible.rape","Robbery","Aggravated.assault","Property.crime","Burglary","Larceny..theft","Motor..vehicle.theft","Arson"
"56",56,"Calimesa","7,497","24",0,1,"9","14","169","48","103","18","2"
"57",57,"Calipatria","7,623","13",0,0,"0","13","32","15","15","2","0"
"58",58,"Calistoga","5,178","12",1,1,"1","9","109","25","78","6","1"
"59",59,"Camarillo","64,011","80",0,8,"28","44","951","167","729","55","6"
"60",60,"Campbell","38,584","116",0,13,"25","78","1,425","248","1,038","139","14"
"61",61,"Canyon Lake","11,387","12",0,0,"1","11","132","46","70","16","0"
"62",62,"Capitola","9,565","107",0,4,"4","99","623","71","534","18","7"
"63",63,"Carlsbad","98,482","287",5,26,"53","203","1,908","446","1,327","135","12"
"64",64,"Carmel","3,864","14",0,0,"3","11","116","36","77","3","0"
"65",65,"Carpinteria","13,595","26",0,3,"2","21","189","41","144","4","0"
"66",66,"Carson","92,635","500",5,14,"164","317","2,331","475","1,389","467","27"
"67",67,"Cathedral City","53,236","203",3,15,"62","123","1,221","430","596","195","6"
"68",68,"Ceres","43,669","145",2,7,"53","83","1,768","376","1,006","386","14"
"69",69,"Cerritos","51,299","81",2,4,"50","25","1,762","254","1,291","217","6"
"70",70,"Chico","84,724","310",3,42,"124","141","2,352","685","1,359","308","34"
"71",71,"Chino","84,626","169",1,15,"69","84","2,122","543","1,346","233","21"
"72",72,"Chino Hills","74,650","101",3,2,"22","74","1,111","251","753","107","3"
"73",73,"Chowchilla","19,817","47",0,1,"2","44","389","200","157","32","16"
"74",74,"Chula Vista","224,841","747",4,49,"335","359","5,263","912","3,048","1,303","27"
"75",75,"Citrus Heights","84,333","415",0,26,"128","261","3,627","702","2,447","478","17"
"76",76,"City of Angels","3,804","16",0,2,"0","14","84","37","44","3","0"
"77",77,"Claremont","35,628","74",2,7,"31","34","802","225","538","39","3"
"78",78,"Clayton","11,333","7",1,2,"2","2","179","27","140","12","1"
"79",79,"Clearlake","15,261","78",2,13,"21","42","557","166","307","84","4"
"80",80,"Cloverdale","8,304","16",0,1,"2","13","177","44","125","8","4"
"81",81,"Clovis","95,229","141",1,23,"54","63","3,289","705","2,254","330","10"
"82",82,"Coachella","41,863","255",4,9,"64","178","1,354","479","578","297","10"
"83",83,"Coalinga","19,308","105",0,6,"8","91","418","136","259","23","19"
