"","State","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Rape1","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"310","Piedmont","11,464","14",0,"7","3","4","174","60","98","16","0"
"311","Pinole","19,449","66",0,"5","31","30","968","93","789","86","3"
"312","Pismo Beach","8,291","42",0,"3","4","35","393","88","283","22","1"
"313","Pittsburg","71,944","341",7,"34","121","179","1,766","299","876","591","28"
"314","Placentia","52,437","89",1,"1","25","62","864","187","563","114","2"
"315","Placerville","10,732","29",0,"6","9","14","279","57","176","46","1"
"316","Pleasant Hill","35,136","83",0,"10","34","39","1,739","158","1,451","130","9"
"317","Pleasanton","84,440","99",0,"13","53","33","1,661","137","1,406","118","5"
"318","Pomona","153,066","853",18,"88","344","403","4,484","718","2,516","1,250","26"
"319","Porterville","59,245","247",4,"10","58","175","1,535","338","925","272","3"
"320","Port Hueneme","22,374","39",2,"4","14","19","396","65","287","44","6"
"321","Poway","50,438","58",0,"8","13","37","576","136","389","51","3"
"322","Rancho Cordova","73,607","305",1,"17","85","202","1,410","285","899","226","1"
"323","Rancho Cucamonga","178,308","329",1,"46","118","164","4,180","814","2,998","368","7"
"324","Rancho Mirage","18,347","28",0,"0","13","15","572","121","411","40","0"
"325","Rancho Palos Verdes","42,563","33",0,"5","7","21","446","152","259","35","0"
"326","Rancho Santa Margarita","49,144","32",0,"4","6","22","328","45","265","18","4"
"327","Red Bluff","14,169","160",0,"29","31","100","960","156","698","106","10"
"328","Redding","92,127","654",2,"64","150","438","3,841","690","2,360","791","9"
"329","Redlands","71,707","216",1,"36","69","110","2,629","426","1,910","293","20"
"330","Redondo Beach","68,051","176",0,"18","62","96","1,570","358","1,042","170","0"
"331","Redwood City","86,353","209",0,"57","61","91","1,390","177","1,053","160","18"
"332","Reedley","25,794","100",0,"5","14","81","369","147","148","74","9"
"333","Rialto","103,980","399",2,"28","150","219","1,684","475","596","613","3"
"334","Richmond","110,804","1,014",10,"49","392","563","4,128","698","2,199","1,231","42"
"335","Ridgecrest","28,873","155",0,"19","13","123","518","136","309","73","9"
"336","Rio Dell","3,414","6",0,"1","0","5","44","8","24","12","1"
"337","Rio Vista","8,870","41",0,"1","4","36","94","40","45","9","0"
"338","Ripon","15,659","13",0,"7","4","2","286","28","241","17","0"
"339","Riverbank","24,669","40",0,"1","21","18","562","73","431","58","2"
"340","Riverside","328,023","1,669",12,"166","544","947","10,032","1,673","6,629","1,730","73"
"341","Rocklin","63,735","66",0,"14","29","23","1,135","211","813","111","10"
"342","Rohnert Park","42,922","218",0,"29","21","168","832","110","610","112","7"
"343","Rolling Hills","1,891","0",0,"0","0","0","6","1","5","0","0"
"344","Rolling Hills Estates","8,259","12",0,"2","1","9","153","42","103","8","2"
"345","Rosemead","54,615","173",1,"12","59","101","1,327","330","719","278","7"
"346","Roseville","135,028","237",0,"27","87","123","3,322","389","2,623","310","33"
"347","Ross","2,475","2",0,"0","1","1","37","8","29","0","0"
"348","Sacramento","499,997","3,378",39,"99","1,100","2,140","14,683","2,888","9,077","2,718","209"
"349","Salinas","158,313","1,021",28,"71","358","564","4,795","964","2,589","1,242","24"
"350","San Bernardino","217,259","2,805",34,"158","877","1,736","8,403","2,136","3,990","2,277","67"
"351","San Bruno","43,274","121",1,"13","51","56","1,117","126","904","87","4"
"352","San Clemente","65,596","91",0,"9","37","45","812","173","574","65","4"
"353","Sand City","392","10",0,"0","5","5","132","10","119","3","0"
"354","San Diego","1,424,116","5,221",35,"559","1,410","3,217","26,246","3,817","17,294","5,135","158"
"355","San Dimas","34,499","67",0,"5","24","38","735","158","500","77","4"
"356","San Fernando","24,899","120",3,"9","34","74","360","85","184","91","1"
"357","San Francisco","881,255","6,301",56,"367","3,220","2,658","54,356","4,935","44,587","4,834","303"
"358","San Gabriel","40,531","114",1,"3","40","70","666","199","407","60","3"
"359","Sanger","25,126","110",2,"12","15","81","489","173","240","76","2"
"360","San Jacinto","47,932","114",3,"2","55","54","1,605","343","1,005","257","1"
"361","San Jose","1,037,529","4,188",32,"571","1,376","2,209","25,323","3,926","13,329","8,068","173"
"362","San Juan Capistrano","36,532","82",0,"12","16","54","448","103","313","32","3"
"363","San Leandro","91,386","524",2,"21","292","209","3,715","460","2,369","886","20"
"364","San Luis Obispo","47,934","178",0,"44","23","111","1,782","172","1,516","94","12"
"365","San Marcos","97,290","195",0,"25","54","116","1,136","202","784","150","4"
"366","San Marino","13,402","14",0,"0","6","8","255","127","126","2","0"
"367","San Mateo","105,090","268",0,"19","64","185","2,125","706","1,231","188","8"
"368","San Pablo","30,781","178",2,"7","103","66","1,040","129","547","364","8"
"369","San Rafael","59,144","194",0,"21","89","84","1,627","271","1,091","265","19"
"370","San Ramon","76,325","56",0,"8","30","18","974","126","768","80","7"
"371","Santa Ana","335,699","1,640",21,"188","605","826","7,017","929","4,108","1,980","60"
"372","Santa Barbara","92,508","377",0,"67","80","230","2,499","327","1,968","204","23"
"373","Santa Clara","127,538","214",2,"35","82","95","3,618","408","2,810","400","7"
"374","Santa Clarita","216,350","352",4,"40","122","186","3,081","674","1,997","410","13"
"375","Santa Cruz","65,132","409",1,"57","103","248","3,684","412","2,911","361","30"
"376","Santa Fe Springs","18,339","106",0,"4","48","54","1,048","183","688","177","6"
"377","Santa Maria","107,424","476",3,"58","155","260","2,354","446","1,231","677","11"
"378","Santa Monica","92,935","705",3,"54","241","407","4,374","648","3,462","264","25"
"379","Santa Paula","30,496","103",2,"7","18","76","434","84","308","42","2"
"380","Santa Rosa","176,361","722",5,"109","126","482","3,245","525","2,309","411","22"
"381","Santee","58,563","155",0,"11","43","101","866","109","665","92","1"
"382","Saratoga","30,886","33",2,"3","6","22","192","94","81","17","4"
"383","Sausalito","7,155","14",0,"0","3","11","231","37","187","7","0"
"384","Scotts Valley","11,985","14",0,"6","4","4","227","40","167","20","0"
"385","Seal Beach","24,495","45",0,"2","19","24","643","92","503","48","1"
"386","Seaside","34,519","92",1,"8","31","52","513","81","360","72","1"
"387","Sebastopol","7,725","20",0,"5","3","12","129","39","81","9","1"
"388","Selma","24,817","292",3,"12","17","260","873","300","411","162","7"
"389","Shafter","19,284","43",0,"7","11","25","473","117","242","114","11"
"390","Sierra Madre","11,080","8",0,"1","1","6","108","43","61","4","2"
"391","Signal Hill","11,757","63",1,"5","34","23","749","93","521","135","2"
"392","Simi Valley","126,635","184",0,"32","39","113","1,824","331","1,355","138","7"
"393","Solana Beach","13,542","13",0,"3","4","6","229","68","142","19","0"
"394","Soledad","25,560","50",2,"3","7","38","170","47","76","47","3"
"395","Solvang","5,899","7",0,"1","1","5","85","21","62","2","0"
"396","Sonoma","11,120","31",0,"5","7","19","186","36","146","4","1"
"397","Sonora","4,811","33",0,"9","7","17","324","56","239","29","7"
"398","South El Monte","21,012","121",2,"4","35","80","684","169","314","201","9"
"399","South Gate","95,717","674",6,"41","223","404","3,131","507","1,691","933","14"
"400","South Lake Tahoe","21,768","58",0,"12","8","38","482","129","280","73","1"
"401","South Pasadena","25,961","18",1,"2","9","6","504","130","315","59","2"
"402","South San Francisco","67,533","234",1,"31","72","130","1,605","214","1,184","207","8"
